artist_name,artist_url,date,id,part,preset_id,rating,recording,song_name,status,tab_access_type,tab_url,tonality_name,tp_version,type,type_name,verified,version,version_description,votes,hits,datetime
Simon & Garfunkel,https://www.ultimate-guitar.com/artist/simon_garfunkel_274,1106265600,159157,,9273,4.8319,"{'is_acoustic': 0, 'tonality_name': '', 'performance': None, 'recording_artists': []}",The Sound Of Silence,approved,public,https://tabs.ultimate-guitar.com/tab/simon_garfunkel/the_sound_of_silence_chords_159157,Ebm,0,Chords,Chords,0,2,,3636,2407241,2005-01-20
Of Monsters and Men,https://www.ultimate-guitar.com/artist/of_monsters_and_men_32346,1302652801,1046763,,5157,4.88504,"{'is_acoustic': 0, 'tonality_name': '', 'performance': None, 'recording_artists': []}",Little Talks,approved,public,https://tabs.ultimate-guitar.com/tab/of_monsters_and_men/little_talks_chords_1046763,Bbm,0,Chords,Chords,0,1,,3439,4952649,2011-04-12
Vance Joy,https://www.ultimate-guitar.com/artist/vance_joy_37940,1365552001,1391193,,10737,4.88084,"{'is_acoustic': 0, 'tonality_name': '', 'performance': None, 'recording_artists': []}",Riptide,approved,public,https://tabs.ultimate-guitar.com/tab/vance_joy/riptide_ukulele_1391193,Bbm,0,Ukulele Chords,Ukulele,0,1,,3435,1912122,2013-04-09
Coldplay,https://www.ultimate-guitar.com/artist/coldplay_1782,1104537600,202594,,3300,4.8142,"{'is_acoustic': 1, 'tonality_name': '', 'performance': None, 'recording_artists': []}",Fix You,approved,public,https://tabs.ultimate-guitar.com/tab/coldplay/fix_you_chords_202594,C,0,Chords,Chords,0,1,,3412,7134061,2004-12-31
Green Day,https://www.ultimate-guitar.com/artist/green_day_1368,1100649600,146744,,761,4.70409,"{'is_acoustic': 0, 'tonality_name': '', 'performance': None, 'recording_artists': []}",Boulevard Of Broken Dreams,approved,public,https://tabs.ultimate-guitar.com/tab/green_day/boulevard_of_broken_dreams_chords_146744,Em,0,Chords,Chords,0,3,,3348,6721439,2004-11-16
Adele,https://www.ultimate-guitar.com/artist/adele_20519,1245369601,838744,,14985,4.84586,"{'is_acoustic': 0, 'tonality_name': '', 'performance': None, 'recording_artists': []}",Make You Feel My Love,approved,public,https://tabs.ultimate-guitar.com/tab/adele/make_you_feel_my_love_chords_838744,G,0,Chords,Chords,0,5,,3304,3184856,2009-06-18
Cat Stevens,https://www.ultimate-guitar.com/artist/cat_stevens_2658,1062028800,84491,,16319,4.81658,"{'is_acoustic': 0, 'tonality_name': '', 'performance': None, 'recording_artists': []}",Father And Son,approved,public,https://tabs.ultimate-guitar.com/tab/cat_stevens/father_and_son_chords_84491,G,0,Chords,Chords,0,1,,3299,3951968,2003-08-27
4 Non Blondes,https://www.ultimate-guitar.com/artist/4_non_blondes_2044,1144022401,349210,,2292,4.87563,"{'is_acoustic': 0, 'tonality_name': '', 'performance': None, 'recording_artists': []}",Whats Up,approved,public,https://tabs.ultimate-guitar.com/tab/4_non_blondes/whats_up_chords_349210,G,0,Chords,Chords,0,2,,3291,3233704,2006-04-02
Adele,https://www.ultimate-guitar.com/artist/adele_20519,1447673945,1782038,,15077,4.86214,"{'is_acoustic': 0, 'tonality_name': '', 'performance': None, 'recording_artists': []}",When We Were Young,approved,public,https://tabs.ultimate-guitar.com/tab/adele/when_we_were_young_chords_1782038,Cm,0,Chords,Chords,0,1,,3288,4300838,2015-11-16
The Neighbourhood,https://www.ultimate-guitar.com/artist/the_neighbourhood_39075,1365724801,1237978,,2379,4.89401,"{'is_acoustic': 0, 'tonality_name': '', 'performance': None, 'recording_artists': []}",Sweater Weather,approved,public,https://tabs.ultimate-guitar.com/tab/the_neighbourhood/sweater_weather_chords_1237978,C,0,Chords,Chords,0,1,,3285,4003679,2013-04-11
Radiohead,https://www.ultimate-guitar.com/artist/radiohead_578,1075766400,103398,,9323,4.89591,"{'is_acoustic': 0, 'tonality_name': '', 'performance': None, 'recording_artists': []}",Karma Police,approved,public,https://tabs.ultimate-guitar.com/tab/radiohead/karma_police_chords_103398,Am,0,Chords,Chords,0,2,,3250,4401372,2004-02-02
Plain White T's,https://www.ultimate-guitar.com/artist/plain_white_ts_3257,1116547200,185406,,2224,4.75473,"{'is_acoustic': 0, 'tonality_name': '', 'performance': None, 'recording_artists': []}",Hey There Delilah,approved,public,https://tabs.ultimate-guitar.com/tab/plain_white_ts/hey_there_delilah_tabs_185406,D,0,Tabs,Tab,0,2,,3232,8638696,2005-05-19
David Guetta,https://www.ultimate-guitar.com/artist/david_guetta_9590,1318204801,1098920,,244,4.85944,"{'is_acoustic': 0, 'tonality_name': '', 'performance': None, 'recording_artists': [{'join_field': ' feat. ', 'artist': {'id': 9670, 'name': 'Sia', 'artist_url': '/artist/sia_9670'}}]}",Titanium,approved,public,https://tabs.ultimate-guitar.com/tab/david_guetta/titanium_chords_1098920,F,0,Chords,Chords,0,2,,3225,5085818,2011-10-09
